X-Axis	bare NPA 10x (CRR) (SG) (Sub BG)
 2.12792E+03	 9.56543E-01
 2.13095E+03	-6.35254E-01
 2.13397E+03	-4.63379E+00
 2.13700E+03	-4.69043E+00
 2.14002E+03	-6.72363E-01
 2.14304E+03	 3.94873E+00
 2.14606E+03	 7.76514E+00
 2.14908E+03	 7.27295E+00
 2.15209E+03	 3.77441E+00
 2.15511E+03	 2.63525E+00
 2.15812E+03	 1.91016E+00
 2.16113E+03	 2.76514E+00
 2.16413E+03	 2.19189E+00
 2.16714E+03	 3.51563E-02
 2.17014E+03	-1.87451E+00
 2.17315E+03	-1.84473E+00
 2.17615E+03	 7.34375E-01
 2.17915E+03	 1.93799E+00
 2.18214E+03	 2.24902E+00
 2.18514E+03	 5.80078E-01
 2.18813E+03	-4.79004E-01
 2.19112E+03	-1.04248E+00
 2.19411E+03	-1.58203E-01
 2.19710E+03	 1.12793E+00
 2.20009E+03	 1.37891E+00
 2.20307E+03	 3.83887E+00
 2.20605E+03	 3.53369E+00
 2.20903E+03	 1.36865E+00
 2.21201E+03	-1.96289E-01
 2.21499E+03	-4.15186E+00
 2.21796E+03	-4.60596E+00
 2.22094E+03	-1.65088E+00
 2.22391E+03	 4.60400E+00
 2.22688E+03	 9.57861E+00
 2.22985E+03	 8.31494E+00
 2.23281E+03	 6.60376E+00
 2.23578E+03	 4.69971E+00
 2.23874E+03	 2.04224E+00
 2.24170E+03	 1.41772E+00
 2.24466E+03	 2.92969E-02
 2.24762E+03	 2.47559E-01
 2.25058E+03	-7.63428E-01
 2.25353E+03	-2.05884E+00
 2.25648E+03	 1.71143E-01
 2.25943E+03	 1.66382E+00
 2.26238E+03	 1.82153E+00
 2.26533E+03	 3.92847E+00
 2.26827E+03	 3.72778E+00
 2.27122E+03	 2.03223E+00
 2.27416E+03	-1.01147E+00
 2.27710E+03	-3.53760E+00
 2.28004E+03	-3.09473E+00
 2.28297E+03	-2.55469E+00
 2.28591E+03	 1.55762E+00
 2.28884E+03	 3.47412E+00
 2.29177E+03	 2.49927E+00
 2.29470E+03	 1.05420E+00
 2.29763E+03	-2.25684E+00
 2.30055E+03	-3.18481E+00
 2.30348E+03	-3.09668E+00
 2.30640E+03	-1.68848E+00
 2.30932E+03	 7.96875E-01
 2.31224E+03	 1.52930E+00
 2.31516E+03	 1.35815E+00
 2.31807E+03	 1.17432E+00
 2.32099E+03	-1.85059E-01
 2.32390E+03	-2.20361E+00
 2.32681E+03	-6.76074E+00
 2.32972E+03	-4.89941E+00
 2.33262E+03	-1.27783E+00
 2.33553E+03	 2.94434E+00
 2.33843E+03	 5.95972E+00
 2.34133E+03	 7.05347E+00
 2.34423E+03	 4.33545E+00
 2.34713E+03	 1.62036E+00
 2.35003E+03	 1.65039E+00
 2.35292E+03	 3.40332E+00
 2.35581E+03	 9.18213E-01
 2.35871E+03	-8.07861E-01
 2.36160E+03	-2.42163E+00
 2.36448E+03	-2.53467E+00
 2.36737E+03	-8.67188E-01
 2.37025E+03	 5.00977E-01
 2.37314E+03	 2.48022E+00
 2.37602E+03	 1.68237E+00
 2.37890E+03	 8.88184E-01
 2.38177E+03	-1.05371E+00
 2.38465E+03	-2.90479E+00
 2.38752E+03	-3.61670E+00
 2.39040E+03	-1.83496E+00
 2.39327E+03	 8.59131E-01
 2.39614E+03	 3.43799E+00
 2.39900E+03	 3.98486E+00
 2.40187E+03	 2.38013E+00
 2.40473E+03	 1.29761E+00
 2.40760E+03	 1.15308E+00
