X-Axis	NPA w/ HMB-1 20x (CRR) (SG) (Sub BG)
 2.34713E+03	-1.61621E-01
 2.35003E+03	 2.82764E+00
 2.35292E+03	 5.03223E+00
 2.35581E+03	 5.21631E+00
 2.35871E+03	 5.66455E+00
 2.36160E+03	 4.70361E+00
 2.36448E+03	 2.03711E+00
 2.36737E+03	-1.26318E+00
 2.37025E+03	-2.01807E+00
 2.37314E+03	-1.58008E+00
 2.37602E+03	 5.30273E-01
 2.37890E+03	 2.52148E+00
 2.38177E+03	 1.46729E+00
 2.38465E+03	 1.99316E+00
 2.38752E+03	 2.25830E+00
 2.39040E+03	 3.87695E-01
 2.39327E+03	-1.40479E+00
 2.39614E+03	-1.87012E+00
 2.39900E+03	-3.75488E+00
 2.40187E+03	-2.73486E+00
